,hr,rsp_period,rsp_depth,rvt,scl_mean,scl_slope,scr_count,scr_ratio,scr_amp,scr_rise
173,82.07837859980947,0.4579259259259259,0.014803332194316607,0.0013544564816367535,3.152475775543316,-1.0524332202226764e-05,3,0.0004,0.0671854309943974,1.6013333333333335
174,81.9637393829643,0.48408,0.016123492807595115,0.0012752816871027816,3.152353703148298,-7.3958805333674795e-06,3,0.0004,0.06683881271931288,1.5893333333333333
175,81.87214044733538,0.5996444444444444,0.017977354082645787,0.0008615131532112791,3.1517063356145285,-4.848121945714395e-06,3,0.0004,0.0655446129573051,1.5759999999999998
176,81.65608167259482,0.8671666666666666,0.01969047875124291,0.0015006868723074023,3.1506274214987107,-2.9627034965252223e-06,3,0.0004,0.06452597827186002,1.5666666666666664
177,81.45996690797298,0.5855111111111111,0.016177199134065137,0.0008221753856375453,3.148950724573531,-1.696189988614152e-06,3,0.0004,0.063517765156307,1.5693333333333335
178,81.28087834276565,0.47294545454545456,0.016341160819022565,0.0012629051228849144,3.147373857540485,-1.607086863874364e-06,3,0.0004,0.06207068785177595,1.2746666666666668
179,81.3162712473661,0.6971034482758621,0.01879731237523151,0.0031642493943887648,3.1465374907316974,-3.135038303848163e-06,5,0.0006666666666666666,0.043362746645050396,1.392
180,81.53958675231145,0.7963076923076923,0.01696183310023757,0.004249143777287539,3.1431874280117063,-3.54563293077535e-06,3,0.0004,0.02396828794917776,1.0613333333333335
181,81.89900952528488,0.8535652173913044,0.028452633740518846,0.0015430479254314332,3.136431215611699,-1.5704108585087697e-06,2,0.0002666666666666667,0.03409556949338473,1.1280000000000001
182,82.12067958329553,0.482,0.015453813091178152,0.0013776706460265976,3.1313722368725347,-1.1145221723101767e-06,2,0.0002666666666666667,0.03408118354167626,1.1280000000000001
183,82.4147363490279,0.603111111111111,0.017921704855885612,0.0016508058780652281,3.1268802078691253,-1.3714922667630384e-06,2,0.0002666666666666667,0.03406924641083072,1.1280000000000001
184,82.92143281550922,1.0404,0.020444212864638062,0.0045199291600021944,3.1229254718639288,-2.3487339701340458e-06,2,0.0002666666666666667,0.03402895438214795,1.124
185,83.30331199042334,0.6385454545454545,0.015653861271331195,0.0026275193337571665,3.119491240728237,-3.931588552216056e-06,3,0.0004,0.029266912113486112,1.4053333333333333
186,83.64453149130831,0.5482,0.016189697448971137,0.0010898580210769993,3.1162970374016576,-5.55573046388856e-06,3,0.0004,0.02316725186647417,0.836
187,83.78515988185185,0.8917894736842105,0.024313363552054382,0.002474459699610309,3.1135684610336365,-7.0905987580701134e-06,3,0.0004,0.023050829235065528,0.8373333333333335
188,83.86230068047674,0.8428333333333333,0.01718679201497816,0.002256032303757696,3.111479526859967,-8.74475029805663e-06,4,0.0005333333333333334,0.028470618827641996,1.6219999999999999
189,83.5589959956011,0.6155348837209302,0.02155511279086977,0.0015632075176497476,3.109474422709651,-1.0148200650682654e-05,4,0.0005333333333333334,0.024881557520489584,1.2080000000000002
190,83.62161237730261,0.5459512195121952,0.014782377624342698,0.0018164883847373323,3.107733377933292,-1.1600193834781707e-05,4,0.0005333333333333334,0.025037484423328444,1.209
191,83.45727128756344,0.7688235294117648,0.018412656518413163,0.002218989595029221,3.1057584728198115,-1.2822393927504154e-05,4,0.0005333333333333334,0.02482241526950752,1.2029999999999998
192,83.31468204607322,0.83075,0.0333128481855114,0.0033996626173212934,3.104406201331725,-1.4492795140576889e-05,4,0.0005333333333333334,0.028993128812639317,1.5919999999999999
193,83.40859247829181,0.8864347826086957,0.018595332890397484,0.0020780264825401027,3.1037602440777188,-1.5860542024126148e-05,2,0.0002666666666666667,0.0416225171118514,1.738
194,83.53857197958374,0.8765,0.01822043196978795,0.0033822550122221246,3.1033626107163896,-1.531414095950085e-05,2,0.0002666666666666667,0.04384664092300257,1.7759999999999998
195,83.61479104332899,0.8067692307692307,0.01753909186526057,0.0021817109208607305,3.1061032604510537,-1.2305569720165487e-05,3,0.0004,0.07838351997419714,1.764
196,83.5947645572971,0.7402666666666666,0.016429276550410026,0.0015987807863232408,3.113244508790376,-6.5146916220634605e-06,3,0.0004,0.08244776340412227,1.7693333333333332
197,83.53151964910462,1.7530666666666666,0.045833572835635696,0.0045128600470179395,3.1253161825544264,2.2217665622256586e-06,4,0.0005333333333333334,0.07385137186996991,1.562
198,83.32294030477445,0.8333333333333334,0.017149000777428137,0.0015450030861225935,3.143429911040183,1.3658974062770801e-05,4,0.0005333333333333334,0.06511333126505627,1.298
199,83.239770327851,0.526,0.01374209714694321,0.001998042750624758,3.165824607568242,2.7434716529934644e-05,4,0.0005333333333333334,0.07430443433407155,1.3440000000000003
200,83.25324623449244,0.5815609756097561,0.017510378158901885,0.0016601774311657722,3.1871808570980966,4.4223518373298055e-05,4,0.0005333333333333334,0.1343065253406304,1.9213333333333333
201,83.34658708144076,1.3002666666666667,0.01735170304417411,0.0032326216921233263,3.2103589492323987,5.977252640398216e-05,4,0.0005333333333333334,0.11022600438210531,1.6420000000000001
202,83.38986591411576,0.7141333333333333,0.016656864743027272,0.003767778207487995,3.2304666942447566,7.61083665031441e-05,4,0.0005333333333333334,0.11036742872021156,1.644
203,83.51406503468942,0.5253333333333333,0.014323295154996503,0.0011049344471545743,3.2507955022686827,8.963688521720041e-05,4,0.0005333333333333334,0.11102985827678016,1.646
204,83.59291890360178,0.7168,0.02952794788561404,0.0017459912005239977,3.2708198507413764,9.94554401786846e-05,5,0.0006666666666666666,0.09651931780732027,1.5128
205,84.01410584553459,1.162,0.023139828313062903,0.001641819319831985,3.289124006484618,0.00010570693489738419,2,0.0002666666666666667,0.203885370244597,1.9340000000000002
206,84.57255895974711,1.079578947368421,0.019611897880536473,0.0018949227682743578,3.3058672672280895,0.00011005271775717532,1,0.00013333333333333334,0.21214816373582646,2.236
207,84.90216739589837,0.5842926829268292,0.016209325042620876,0.0010732916991748344,3.3235154968925174,0.00011289616225537092,2,0.0002666666666666667,0.21065371783070458,1.8940000000000001
208,85.20132711839487,0.7006486486486486,0.016154423019543753,0.0016384225533478825,3.340717410962828,0.00011409671422393039,2,0.0002666666666666667,0.21590925156962992,1.9100000000000001
209,85.32293010680148,0.7913600000000001,0.016189737309211468,0.0038128278095065356,3.3575197064644415,0.00011304023422248695,2,0.0002666666666666667,0.21363863035760394,1.9040000000000001
