,hr,rsp_period,rsp_depth,rvt,scl_mean,scl_slope,scr_count,scr_ratio,scr_amp,scr_rise
119,59.867266711997424,0.7794285714285715,0.026314017533514377,0.0014194798924527104,10.012325212374472,-0.000104616256951443,6,0.0008,0.011343674674984157,0.5056
120,59.99065914181075,0.524734693877551,0.013156510654767539,0.0010152099991779765,9.988049120456418,-0.00010209629493324937,3,0.0004,0.019393260931956195,0.9586666666666667
121,58.82803677347871,0.5604444444444444,0.013141726168502415,0.0006262923800299968,9.967923178276314,-9.01861699592462e-05,2,0.0002666666666666667,0.2722401992491655,2.012
122,58.82035061893716,0.5943255813953489,0.014117771064437996,0.0015376311505725306,9.960463789503764,-7.306852181151941e-05,2,0.0002666666666666667,0.34594215041080745,0.99
123,58.918228005781124,0.5177,0.013921531524724556,0.0010742297415618088,9.961104447802812,-5.39493103218143e-05,2,0.0002666666666666667,0.41218345393500033,2.248
124,58.71182965696791,0.5012075471698113,0.012740294722881632,0.0011097082512775862,9.963344806119688,-3.39360201892286e-05,1,0.00013333333333333334,0.8392421016012424,2.02
125,58.80277315507571,0.7395862068965517,0.014590715734916314,0.0008103280931422449,9.966245708501136,-1.582687223894328e-05,1,0.00013333333333333334,0.8442079548027555,2.028
126,58.798057417128206,0.739448275862069,0.014955021780100245,0.002404760885625891,9.968546844293984,-4.637976411759706e-07,1,0.00013333333333333334,0.842530888150649,2.024
127,58.97799125708467,0.8196923076923077,0.016952294117930325,0.002658443712537678,9.969932929388817,1.1658941200689656e-05,1,0.00013333333333333334,0.8414745284632161,2.024
128,58.95598932462572,0.586046511627907,0.014007879908415151,0.00045213440521555884,9.969845987937662,2.108435121680205e-05,1,0.00013333333333333334,0.8427212753653446,2.024
129,59.31171713800149,0.7115862068965517,0.016069860427708336,0.002544425585704601,9.969516832143503,2.9071447143292685e-05,1,0.00013333333333333334,0.8622944273907038,2.056
130,59.76119456400757,0.5413714285714286,0.017625178584146046,0.0019664236943287383,9.975677020244074,3.9366444762366167e-05,1,0.00013333333333333334,0.8683458139717317,2.068
131,60.26208586909987,1.0109230769230768,0.025556346725836204,0.003364528153612847,9.991652203397152,5.412442908317058e-05,1,0.00013333333333333334,0.8666678520770869,2.064
132,61.27008840515819,0.54712,0.014751452805714667,0.0010220832259137712,10.017415365600563,7.417347813381541e-05,2,0.0002666666666666667,0.7475330142509631,2.5940000000000003
133,62.443080185211656,0.9092727272727272,0.01829328568941413,0.002786798315773308,10.051020574931291,9.668366620312588e-05,2,0.0002666666666666667,0.8435432518464827,2.67
134,63.48702697093437,0.6810666666666667,0.018426883585057566,0.002730842393321035,10.087163159754912,0.00011883483060744175,2,0.0002666666666666667,0.8760465122768737,2.702
